"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"Stadsdeel";"Naam";"Adres";"Postcode";"Plaats";"Telefoonnummer";"E-mailadres";"Website";"Type"
"Sporthal Centrum voor Vrijetijd (CVT)";"sporthal_centrum_voor_vrijetijd_cvt";"1";"147";"";"0000-00-00 00:00:00";"Ed Pelsterpark 8";"1087 EJ";"";"POINT(4.99617026524992 52.3568233685245)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:45";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Oost";"Sporthal Centrum voor Vrijetijd (CVT)";"Ed Pelsterpark 8";"1087 EJ";"Amsterdam";"";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal De Weeren";"sporthal_de_weeren_1";"1";"147";"";"0000-00-00 00:00:00";"Beemsterstraat 656";"1027 ED";"";"POINT(4.9593382100179 52.401193887907)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:45";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Noord";"Sporthal De Weeren";"Beemsterstraat 656";"1027 ED";"Amsterdam";"020-6322756";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Elzenhagen";"sporthal_elzenhagen_1";"1";"147";"";"0000-00-00 00:00:00";"J.H. Hisgenpad 1";"1025 WK";"";"POINT(4.92565860990528 52.4013191119118)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:46";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Noord";"Sporthal Elzenhagen";"J.H. Hisgenpad 1";"1025 WK";"Amsterdam";"020-6371251";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Gaasperdam";"sporthal_gaasperdam_4";"1";"147";"";"0000-00-00 00:00:00";"Ravenswaaipad 5";"1106 AW";"";"POINT(4.9782571 52.2967696)";"";"Amsterdam Zuidoost";"";"";"";"";"";"";"0";"2018-04-10 02:06:47";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuidoost";"Sporthal Gaasperdam";"Ravenswaaipad 5";"1106 AW";"Amsterdam Zuidoost";"020-6977222";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal IJburg";"sporthal_ijburg";"1";"147";"";"0000-00-00 00:00:00";"Pampuslaan 1";"1087 HP";"";"POINT(5.00433549265829 52.3512956678387)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:47";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Oost";"Sporthal IJburg";"Pampuslaan 1";"1087 HP";"Amsterdam";"020-4160000";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Laan van Spartaan";"sporthal_laan_van_spartaan";"1";"147";"";"0000-00-00 00:00:00";"Rinus Michelslaan 26";"1061 MB";"";"POINT(4.83917466277764 52.3733534927739)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:48";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Sporthal Laan van Spartaan";"Rinus Michelslaan 26";"1061 MB";"Amsterdam";"020-7371716";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Oostenburg";"sporthal_oostenburg_1";"1";"147";"";"0000-00-00 00:00:00";"Oostenburgergracht 151";"1018 ND";"";"POINT(4.92521147894618 52.3680899592476)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:49";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Centrum";"Sporthal Oostenburg";"Oostenburgergracht 151";"1018 ND";"Amsterdam";"020-6206767";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal ROC Europaboulevard";"sporthal_roc_europaboulevard";"1";"147";"";"0000-00-00 00:00:00";"Europaboulevard 13";"1079 PC";"";"POINT(4.89280289023346 52.3395968401921)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:49";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuid";"Sporthal ROC Europaboulevard";"Europaboulevard 13";"1079 PC";"Amsterdam";"020-5791800";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Wethouder Verheij";"sporthal_wethouder_verheij_1";"1";"147";"";"0000-00-00 00:00:00";"Polderweg 300";"1093 KP";"";"POINT(4.93135099412906 52.3578857482758)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:50";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Oost";"Sporthal Wethouder Verheij";"Polderweg 300";"1093 KP";"Amsterdam";"020-6936459";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthal Zeeburg";"sporthal_zeeburg_1";"1";"147";"";"0000-00-00 00:00:00";"Insulindeweg 1001";"1095 DH";"";"POINT(4.95130937880119 52.3659419927137)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:50";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Oost";"Sporthal Zeeburg";"Insulindeweg 1001";"1095 DH";"Amsterdam";"020-6656947";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Sporthallen Zuid";"sporthallen_zuid_3";"1";"147";"";"0000-00-00 00:00:00";"Burgerweeshuispad 54";"1076 EP";"";"POINT(4.85410701330591 52.3399792559976)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:51";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuid";"Sporthallen Zuid";"Burgerweeshuispad 54";"1076 EP";"Amsterdam";"020-2517700";"sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Tennishal Strandvliet";"tennishal_strandvliet";"1";"147";"";"0000-00-00 00:00:00";"Passage 3";"1114 BH";"";"POINT(4.9373557 52.3161516)";"";"Amsterdam Zuidoost";"";"";"";"";"";"";"0";"2018-04-10 02:06:51";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuidoost";"Tennishal Strandvliet";"Passage 3";"1114 BH";"Amsterdam Zuidoost";"020-6969918";"";"http://www.tennishalstrandvliet.nl/";"Sporthal"
"Velodrome (sporthal en wielerbaan)";"velodrome_sporthal_en_wielerbaan_1";"1";"147";"";"0000-00-00 00:00:00";"Sloterweg 1043M";"1066 CD";"";"POINT(4.82195642141917 52.341945940292)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:52";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Nieuw-West";"Velodrome (sporthal en wielerbaan)";"Sloterweg 1043M";"1066 CD";"Amsterdam";"06-10948079";"info@velodrome-amsterdam.nl sportverhuur@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Sporthal"
"Friendship Sports Centre";"friendship_sports_centre_2";"1";"147";"";"0000-00-00 00:00:00";"Beemsterstraat 652";"1027 ED";"";"POINT(4.9598468818715 52.4002520238461)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:53";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Noord";"Friendship Sports Centre";"Beemsterstraat 652";"1027 ED";"Amsterdam";"020-3331234";"info@friendshipsc.nl";"http://www.friendshipsc.nl";"Sporthal"
"MatchZO";"matchzo";"1";"147";"";"0000-00-00 00:00:00";"Stammerlandweg 10";"1109 BR";"";"POINT(5.01467667406912 52.3088144095678)";"";"Driemond";"";"";"";"";"";"";"0";"2018-04-10 02:06:53";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuidoost";"MatchZO";"Stammerlandweg 10";"1109 BR";"Driemond";"0294-483156";"info@matchzo.nl";"http://www.matchzo.nl";"Sporthal"
"Universum";"universum";"1";"147";"";"0000-00-00 00:00:00";"Science Park 306";"1098 XH";"";"POINT(4.95629977047616 52.3556496837939)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:54";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Oost";"Universum";"Science Park 306";"1098 XH";"Amsterdam";"020-5258955";"info@usc.uva.nl";"http://www.usc.uva.nl";"Sporthal"
"Amstelcampus";"amstelcampus";"1";"147";"";"0000-00-00 00:00:00";"Tweede Boerhaavestraat 10";"1091 AN";"";"POINT(4.91002037991248 52.3586335289101)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:55";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Oost";"Amstelcampus";"Tweede Boerhaavestraat 10";"1091 AN";"Amsterdam";"020-5258075";"info@usc.uva.nl";"http://www.usc.uva.nl";"Sporthal"
"Frans Otten stadion";"frans_otten_stadion_3";"1";"147";"";"0000-00-00 00:00:00";"IJsbaanpad 43";"1076 CV";"";"POINT(4.85059092919467 52.3391132721118)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:55";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuid";"Frans Otten stadion";"IJsbaanpad 43";"1076 CV";"Amsterdam";"020-6628767";"info@fransottenstadion.nl ";"http://www.fransottenstadion.nl";"Sporthal"
"Amstelborgh/Borchland";"amstelborgh_borchland";"1";"147";"";"0000-00-00 00:00:00";"Borchlandweg 6-10";"1114 BD";"";"POINT(4.92762633362491 52.315827562928)";"";"Amsterdam-Duivendrecht";"";"";"";"";"";"";"0";"2018-04-10 02:06:55";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Sporthal";"Zuidoost";"Amstelborgh/Borchland";"Borchlandweg 6-10";"1114 BD";"Amsterdam-Duivendrecht";"020-5633333";"info@borchland.nl";"http://www.borchland.nl";"Sporthal"
"Bredius";"bredius";"1";"147";"";"0000-00-00 00:00:00";"Spaarndammerdijk 306";"1013 ZX";"";"POINT(4.8683383115497 52.3924717160644)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:56";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"West";"Bredius";"Spaarndammerdijk 306";"1013 ZX";"Amsterdam";"020-6846984";"sport@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Zwembad"
"Bijlmer Sportcentrum";"bijlmer_sportcentrum_3";"1";"147";"";"0000-00-00 00:00:00";"Anton de Komplein 157";"1102 DR";"";"POINT(4.958035 52.3154432)";"";"Amsterdam Zuidoost";"";"";"";"";"";"";"0";"2018-04-10 02:06:56";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Zuidoost";"Bijlmer Sportcentrum";"Anton de Komplein 157";"1102 DR";"Amsterdam Zuidoost";"020-6973220";"infobijlmersportcentrum@optisport.nl";"https://www.optisport.nl/bijlmersportcentrum";"Zwembad"
"Flevoparkbad";"flevoparkbad_2";"1";"147";"";"0000-00-00 00:00:00";"Insulindeweg 1002";"1095 DH";"";"POINT(4.95185027116138 52.3649303332444)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:57";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Oost";"Flevoparkbad";"Insulindeweg 1002";"1095 DH";"Amsterdam";"020-6925030";"sport@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Zwembad"
"Noorderparkbad";"noorderparkbad_1";"1";"147";"";"0000-00-00 00:00:00";"Sneeuwbalweg 5";"1032 VS";"";"POINT(4.91872829769865 52.3982696418449)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:57";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Noord";"Noorderparkbad";"Sneeuwbalweg 5";"1032 VS";"Amsterdam";"020-4352120";"sport@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Zwembad"
"Het Marnix";"het_marnix_2";"1";"147";"";"0000-00-00 00:00:00";"Marnixplein 1";"1015 ZN";"";"POINT(4.87847967626351 52.3779915943609)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:58";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Centrum";"Het Marnix";"Marnixplein 1";"1015 ZN";"Amsterdam";"020-5246000";"info@hetmarnix.nl";"http://www.hetmarnix.nl";"Zwembad"
"De Mirandabad";"de_mirandabad";"1";"147";"";"0000-00-00 00:00:00";"De Mirandalaan 9";"1079 PA";"";"POINT(4.90227461562702 52.3387341626056)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:58";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Zuid";"De Mirandabad";"De Mirandalaan 9";"1079 PA";"Amsterdam";"020-2524444";"sport@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Zwembad"
"Sloterparkbad";"sloterparkbad";"1";"147";"";"0000-00-00 00:00:00";"Pres. Allendelaan 2-4";"1064 GW";"";"POINT(4.81513094515367 52.371698669115)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:06:59";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Nieuw-West";"Sloterparkbad";"Pres. Allendelaan 2-4";"1064 GW";"Amsterdam";"020-5063506";"sport@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Zwembad"
"Sportfondsenbad Oost";"sportfondsenbad_oost_4";"1";"147";"";"0000-00-00 00:00:00";"Land van Cocagneplein 44";"1093 NB";"";"POINT(4.9284866522976 52.3566433667375)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:00";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Oost";"Sportfondsenbad Oost";"Land van Cocagneplein 44";"1093 NB";"Amsterdam";"020-6650811";"amsterdamoost@sportfondsen.nl";"http://www.sportfondsenbadamsterdamoost.nl/";"Zwembad"
"Zuiderbad";"zuiderbad_1";"1";"147";"";"0000-00-00 00:00:00";"Hobbemastraat 26";"1071 ZC";"";"POINT(4.88602639199345 52.3586732124068)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:00";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Zuid";"Zuiderbad";"Hobbemastraat 26";"1071 ZC";"Amsterdam";"020-2521390";"sport@amsterdam.nl";"https://www.amsterdam.nl/sport/waar-sporten/sporthallen/";"Zwembad"
"SportPlaza Mercator";"sportplaza_mercator";"1";"147";"";"0000-00-00 00:00:00";"Jan van Galenstraat 315";"1056 CB";"";"POINT(4.84609931358316 52.3717453843494)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:01";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"West";"SportPlaza Mercator";"Jan van Galenstraat 315";"1056 CB";"Amsterdam";"020-6188911";"info@sportplazamercator.nl";"http://www.sportplazamercator.nl";"Zwembad"
"Swimgym";"swimgym";"1";"147";"";"0000-00-00 00:00:00";"Wibautstraat 131b";"1091 GL";"";"POINT(4.91272884235693 52.3543183260272)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:02";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Oost";"Swimgym";"Wibautstraat 131b";"1091 GL";"Amsterdam";"020-3331016";"vragen@swimgym.nl";"http://www.swimgym.nl";"Zwembad"
"Friendship Sports Centre";"friendship_sports_centre_3";"1";"147";"";"0000-00-00 00:00:00";"Beemsterstraat 652";"1027 ED";"";"POINT(4.9598468818715 52.4002520238461)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:02";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Noord";"Friendship Sports Centre";"Beemsterstraat 652";"1027 ED";"Amsterdam";"020-3331234";"info@friendshipsc.nl";"http://www.friendshipsc.nl";"Zwembad"
"David Lloyd";"david_lloyd_2";"1";"147";"";"0000-00-00 00:00:00";"Overtoom 557";"1054 LK";"";"POINT(4.85593072171155 52.3576162311994)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:04";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"West";"David Lloyd";"Overtoom 557";"1054 LK";"Amsterdam";"088-0202103 ";"amsterdam@davidlloyd.nl";"http://www.davidlloyd.nl";"Zwembad"
"Sportcentrum Reade Therapiebad";"sportcentrum_reade_therapiebad";"1";"147";"";"0000-00-00 00:00:00";"Dr. Jan van Breemenstraat 2";"1056 AB";"";"POINT(4.84371304648247 52.3699548817072)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:05";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"West";"Sportcentrum Reade Therapiebad";"Dr. Jan van Breemenstraat 2";"1056 AB";"Amsterdam";"020-2421000";"via zorgverlener";"";"Zwembad"
"Zwembad Drostenburg";"zwembad_drostenburg";"1";"147";"";"0000-00-00 00:00:00";"Drostenburg 1-4";"1102 AB";"";"POINT(4.9468771 52.3222548)";"";"Amsterdam Zuidoost";"";"";"";"";"";"";"0";"2018-04-10 02:07:05";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Zuidoost";"Zwembad Drostenburg";"Drostenburg 1-4";"1102 AB";"Amsterdam Zuidoost";"020-3897755";"drostenburg@orion.nl";"http://www.orion.nl";"Zwembad"
"Zwembad IJburg";"zwembad_ijburg";"1";"147";"";"0000-00-00 00:00:00";"F.D. Kahlenbergstraat 66";"1087 LL";"";"POINT(5.00915932078483 52.3484351105465)";"";"Amsterdam";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Oost";"Zwembad IJburg";"F.D. Kahlenbergstraat 66";"1087 LL";"Amsterdam";"0294-416017";"info@zweminstituut-siemons.nl info@hetmineraal.nl";"http://www.zwembad-ijburg.nl";"Zwembad"
"AGO Zwembad Diemen";"ago_zwembad_diemen";"1";"147";"";"0000-00-00 00:00:00";"Kriekenoord 17";"1111 PT";"";"POINT(4.97502660871402 52.3365841259384)";"";"Diemen";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Buiten Amsterdam";"AGO Zwembad Diemen";"Kriekenoord 17";"1111 PT";"Diemen";"020-6903487";"info@agozwembad.nl";"http://www.agozwembad.nl";"Zwembad"
"Zwembad De Meerkamp";"zwembad_de_meerkamp";"1";"147";"";"0000-00-00 00:00:00";"Van der Hooplaan 239";"1185 LN";"";"POINT(4.85262528716609 52.2884276827045)";"";"Amstelveen";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Buiten Amsterdam";"Zwembad De Meerkamp";"Van der Hooplaan 239";"1185 LN";"Amstelveen";"088-8585185";"info@meerkamp.nl";"http://www.meerkamp.nl";"Zwembad"
"Amstelbad";"amstelbad";"1";"147";"";"0000-00-00 00:00:00";"Wethouder Koolhaasweg 10";"1191 EB";"";"POINT(4.9208204994718 52.3025599847525)";"";"Ouderkerk aan de Amstel";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Buiten Amsterdam";"Amstelbad";"Wethouder Koolhaasweg 10";"1191 EB";"Ouderkerk aan de Amstel";"020-4961400";"info@amstelbad.nl";"http://www.amstelbad.nl";"Zwembad"
"De Breek";"de_breek";"1";"147";"";"0000-00-00 00:00:00";"Sportpark 7";"1024 LK";"";"POINT(4.90842546038853 52.4309747956077)";"";"Landsmeer";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Buiten Amsterdam";"De Breek";"Sportpark 7";"1024 LK";"Landsmeer";"020-4821677";"zwembad@debreek.nl";"http://www.debreek.nl";"Zwembad"
"Victoriabad Weesp";"victoriabad_weesp";"1";"147";"";"0000-00-00 00:00:00";"Basisweg 1";"1383 NC";"";"POINT(5.02711096870757 52.2983961978405)";"";"Weesp";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Buiten Amsterdam";"Victoriabad Weesp";"Basisweg 1";"1383 NC";"Weesp";"0294-430041";"info@zwembadweesp.nl";"http://www.zwembadweesp.nl";"Zwembad"
"SportPlaza de Sporthoeve";"sportplaza_de_sporthoeve";"1";"147";"";"0000-00-00 00:00:00";"Snelliuslaan 1";"1171 CZ";"";"POINT(4.77476973506546 52.3430666855622)";"";"Badhoevedorp";"";"";"";"";"";"";"0";"2018-04-10 02:07:06";"2018-04-10 02:07:07";"0000-00-00 00:00:00";"Zwembad";"Buiten Amsterdam";"SportPlaza de Sporthoeve";"Snelliuslaan 1";"1171 CZ";"Badhoevedorp";"020-6596811";"info@sportplazanet.nl";"http://www.sportplazanet.nl";"Zwembad"
