"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"Altra Onderwijs";"altra_onderwijs_9";"1";"281";"";"0000-00-00 00:00:00";"Kortvoort 60";"1104NB";"";"POINT(4.97058948943957 52.3156442002537)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Kortvoort";"60";"1104NB";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Altra Onderwijs";"altra_onderwijs_10";"1";"281";"";"0000-00-00 00:00:00";"Purmerweg 116";"1023BB";"";"POINT(4.94797698354216 52.3896301607576)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Purmerweg";"116";"1023BB";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Altra Onderwijs";"altra_onderwijs_11";"1";"281";"";"0000-00-00 00:00:00";"Tafelbergweg 23";"1105BC";"";"POINT(4.95390204439614 52.2898791528339)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Tafelbergweg";"23";"1105BC";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Altra Onderwijs";"altra_onderwijs_12";"1";"281";"";"0000-00-00 00:00:00";"Tafelbergweg 8";"1105BN";"";"POINT(4.94735803554038 52.2920659981719)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:26";"2016-04-29 13:12:26";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Altra Onderwijs";"Tafelbergweg";"8";"1105BN";"Amsterdam";"06 5331 3885";"";"http://www.altra.nl";"info@altra.nl"
"Ambulante Zorg op Maat Amsterdam (Azoma)";"ambulante_zorg_op_maat_amsterdam_azoma";"1";"281";"";"0000-00-00 00:00:00";"Postbus 90074";"1006BB";"";"POINT(-60.6475646 -32.9933688)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Ambulante Zorg op Maat Amsterdam (Azoma)";"Postbus";"90074";"1006BB";"Amsterdam";"020 737 1766";"";"http://www.zorgopmaatamsterdam.nl";"info@zorgopmaatamsterdam.nl"
"AMC Audiologisch Centrum";"amc_audiologisch_centrum_1";"1";"281";"";"0000-00-00 00:00:00";"Meibergdreef 9";"1105AZ";"";"POINT(4.9579126998355 52.2949898712038)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"AMC Audiologisch Centrum";"Meibergdreef";"9";"1105AZ";"Amsterdam";"020 566 3921";"020 566 9068";"https://www.amc.nl/web/Zorg/Patient/Afspraak-op-de-polikliniek/Audiologisch-Centrum.htm";""
"Amsta";"amsta_10";"1";"281";"";"0000-00-00 00:00:00";"Blankenstraat 29";"1018RR";"";"POINT(4.92722078457808 52.3683134878271)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Amsta";"Blankenstraat";"29";"1018RR";"Amsterdam";"020 554 0404";"020 554 0405";"http://www.amsta.nl";"info@amsta.nl"
"Amsta";"amsta_11";"1";"281";"";"0000-00-00 00:00:00";"Polderweg 2";"1093KM";"";"POINT(4.92752703085528 52.3571789080153)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Amsta";"Polderweg";"2";"1093KM";"Amsterdam";"020 554 0404";"020 554 0405";"http://www.amsta.nl";"info@amsta.nl"
"Amsta";"amsta_12";"1";"281";"";"0000-00-00 00:00:00";"Roetersstraat 2";"1018WC";"";"POINT(4.9105504148047 52.3646974046891)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Amsta";"Roetersstraat";"2";"1018WC";"Amsterdam";"020 554 0404";"020 554 0405";"http://www.amsta.nl";"info@amsta.nl"
"Amsta Karaad, ambulant specialistisch team";"amsta_karaad_ambulant_specialistisch_team_1";"1";"281";"";"0000-00-00 00:00:00";"Polderweg 2";"1093KM";"";"POINT(4.92752703085528 52.3571789080153)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Amsta Karaad, ambulant specialistisch team";"Polderweg";"2";"1093KM";"Amsterdam";"020 589 0053";"020 589 0063";"http://www.amsta.nl/nl/1609-ambulante_ondersteuning.html";"j.meijers@amsta.nl"
"Amstelbewind";"amstelbewind";"1";"281";"";"0000-00-00 00:00:00";"Postbus 14873";"1001LJ";"";"POINT(-60.6476901 -32.9934848)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Amstelbewind";"Postbus";"14873";"1001LJ";"Amsterdam";"020 223 7407";"";"http://www.amstelbewind.nl";"info@amstelbewind.nl"
"Amstelring";"amstelring_3";"1";"281";"";"0000-00-00 00:00:00";"Nachtwachtlaan 20";"1058EA";"";"POINT(4.844225661794 52.3592707948934)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:27";"2016-04-29 13:12:27";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Amstelring";"Nachtwachtlaan";"20";"1058EA";"Amsterdam";"0900 1866";"";"http://www.amstelring.nl";""
"Ango steunpunt werk, handicap & voorzieningen";"ango_steunpunt_werk_handicap_voorzieningen_2";"1";"281";"";"0000-00-00 00:00:00";"Maassluisstraat 98";"1062GE";"";"POINT(4.83526629428379 52.350486122525)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Ango steunpunt werk, handicap & voorzieningen";"Maassluisstraat";"98";"1062GE";"Amsterdam";"020 672 2005";"";"http://www.ango-werk-handicap.nl";"info@ango-werk-handicap.nl"
"Appèl bewindvoering";"appel_bewindvoering";"1";"281";"";"0000-00-00 00:00:00";"Postbus 56828";"1040AV";"";"POINT(-60.6482121 -32.9934592)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Appèl bewindvoering";"Postbus";"56828";"1040AV";"Amsterdam";"020 760 0366";"";"http://www.appelbewind.nl";"info@appelbewind.nl"
"Archimedestrainingen Amsterdam";"archimedestrainingen_amsterdam";"1";"281";"";"0000-00-00 00:00:00";"Andreas Bonnstraat 24";"1091AZ";"";"POINT(4.91205793905202 52.3596523675711)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Archimedestrainingen Amsterdam";"Andreas Bonnstraat";"24";"1091AZ";"Amsterdam";"06 1551 7813";"";"http://www.archimedestrainingen.nl";"a.melman@hetnet.nl"
"Audiologisch Centrum Amsterdam";"audiologisch_centrum_amsterdam";"1";"281";"";"0000-00-00 00:00:00";"Derkinderenstraat 1";"1062BE";"";"POINT(4.84034458764035 52.3597202930998)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Audiologisch Centrum Amsterdam";"Derkinderenstraat";"1";"1062BE";"Amsterdam";"020 617 1814";"020 669 1003";"http://www.kentalis.nl";"acamsterdam@kentalis.nl"
"AVG-poli";"avg_poli_2";"1";"281";"";"0000-00-00 00:00:00";"Polderweg 2";"1093KM";"";"POINT(4.92752703085528 52.3571789080153)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"AVG-poli";"Polderweg";"2";"1093KM";"Amsterdam";"020 589 0128";"";"http://www.amsta.nl";"avg@amsta.nl"
"Bea Zorg";"bea_zorg";"1";"281";"";"0000-00-00 00:00:00";"Ditlaar 7";"1066EE";"";"POINT(4.80076689049978 52.3419327118816)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Bea Zorg";"Ditlaar";"7";"1066EE";"Amsterdam";"085 876 8840";"";"http://www.beazorg.nl";"info@beazorg.nl"
"Belangengroep Gehandicapten Oud-West (BGOW)";"belangengroep_gehandicapten_oud_west_bgow_2";"1";"281";"";"0000-00-00 00:00:00";"Borgerstraat 98";"1053PW";"";"POINT(4.86627905184774 52.365184966089)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Belangengroep Gehandicapten Oud-West (BGOW)";"Borgerstraat";"98";"1053PW";"Amsterdam";"";"";"http://www.bgow.nl";"info@bgow.nl"
"Beleyes / Bartiméus";"beleyes_bartimeus_1";"1";"281";"";"0000-00-00 00:00:00";"Osdorper Ban 11A";"1068LD";"";"POINT(4.80419346629451 52.3625946260121)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Beleyes / Bartiméus";"Osdorper Ban";"11A";"1068LD";"Amsterdam";"020 777 6807";"0842 206 724";"http://www.beleyes.nl";"info@beleyes.nl"
"BRight GGZ Jeugd en Gezin Amsterdam";"bright_ggz_jeugd_en_gezin_amsterdam";"1";"281";"";"0000-00-00 00:00:00";"Baarsjesweg 224A";"1058AA";"";"POINT(4.85828389454875 52.3634058940364)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:28";"2016-04-29 13:12:28";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"BRight GGZ Jeugd en Gezin Amsterdam";"Baarsjesweg";"224A";"1058AA";"Amsterdam";"020 772 8147";"";"http://www.brightggz.nl";"info@brightggz.nl"
"Budgetondersteuning Nederland";"budgetondersteuning_nederland_1";"1";"281";"";"0000-00-00 00:00:00";"POSTBUS 25";"1500EA";"";"POINT(4.8564506 52.4428337)";"";"ZAANDAM";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Budgetondersteuning Nederland";"POSTBUS";"25";"1500EA";"ZAANDAM";"075 612 7882";"075 612 7886";"http://www.budgetondersteuning.nl";""
"CASA Amsterdam, centrum voor anticonceptie, ongewenste zwangerschap en seksualiteit";"casa_amsterdam_centrum_voor_anticonceptie_ongewenste_zwangerschap_en_seksualiteit_1";"1";"281";"";"0000-00-00 00:00:00";"Sarphatistraat 620";"1018AV";"";"POINT(4.92230390704698 52.365328341946)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"CASA Amsterdam, centrum voor anticonceptie, ongewenste zwangerschap en seksualiteit";"Sarphatistraat";"620";"1018AV";"Amsterdam";"088 888 4444";"";"http://www.casaklinieken.nl/nl/over-casa-klinieken/locaties/amsterdam";"info@casaklinieken.nl"
"CASA Reade Centrum voor Aangepast Sporten Amsterdam";"casa_reade_centrum_voor_aangepast_sporten_amsterdam";"1";"281";"";"0000-00-00 00:00:00";"Dr. Jan van Breemenstraat 2";"1056AB";"";"POINT(4.84440831816034 52.3707400053483)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"CASA Reade Centrum voor Aangepast Sporten Amsterdam";"Dr. Jan van Breemenstraat";"2";"1056AB";"Amsterdam";"020 589 65 03";"";"http://casa.reade.nl/";"sport@reade.nl"
"Centrum PS";"centrum_ps_3";"1";"281";"";"0000-00-00 00:00:00";"Tweede Kostverlorenkade 15";"1052RL";"";"POINT(4.86579213870465 52.3703867207915)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Centrum PS";"Tweede Kostverlorenkade";"15";"1052RL";"Amsterdam";"020 755 4602";"";"http://www.volksbond.nl";""
"COC Amsterdam";"coc_amsterdam";"1";"281";"";"0000-00-00 00:00:00";"Stadhouderskade 89";"1073AV";"";"POINT(4.89531572029783 52.357624660428)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"COC Amsterdam";"Stadhouderskade";"89";"1073AV";"Amsterdam";"020 626 3087";"";"http://www.cocamsterdam.nl";"info@cocamsterdam.nl"
"Cordaan";"cordaan_3";"1";"281";"";"0000-00-00 00:00:00";"De Ruijterkade 7";"1013AA";"";"POINT(4.89558008548591 52.3814611735525)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Cordaan";"De Ruijterkade";"7";"1013AA";"Amsterdam";"020 435 6300";"020 435 6301";"http://www.cordaan.nl";"info@cordaan.nl"
"Cordaan Jeugd";"cordaan_jeugd_3";"1";"281";"";"0000-00-00 00:00:00";"Postbus 1103";"1000BC";"";"POINT(4.869177 52.3363658)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Cordaan Jeugd";"Postbus";"1103";"1000BC";"Amsterdam";"020 630 6262";"";"http://www.cordaan.nl/jeugd";"zorgloketjeugd@cordaan.nl"
"Dagcentrum Buitenveldert";"dagcentrum_buitenveldert";"1";"281";"";"0000-00-00 00:00:00";"Arent Janszoon Ernststraat 1179";"1081HL";"";"POINT(4.86590862919496 52.3317308595466)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:29";"2016-04-29 13:12:29";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Dagcentrum Buitenveldert";"Arent Janszoon Ernststraat";"1179";"1081HL";"Amsterdam";"020 642 6338";"";"http://www.cordaan.nl";""
"Dagcentrum De Beemster";"dagcentrum_de_beemster";"1";"281";"";"0000-00-00 00:00:00";"Beemsterstraat 531";"1024BE";"";"POINT(4.95079933014972 52.3969026054934)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Dagcentrum De Beemster";"Beemsterstraat";"531";"1024BE";"Amsterdam";"020 636 0281";"";"http://www.cordaan.nl";""
"Dagcentrum de Dokken";"dagcentrum_de_dokken";"1";"281";"";"0000-00-00 00:00:00";"Klinkerweg 75";"1033PK";"";"POINT(4.89542819102772 52.4070753960839)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Dagcentrum de Dokken";"Klinkerweg";"75";"1033PK";"Amsterdam";"020 630 6100";"";"http://www.cordaan.nl";""
"Dagcentrum de Drie Wachters";"dagcentrum_de_drie_wachters";"1";"281";"";"0000-00-00 00:00:00";"Wolbrantskerkweg 116";"1069DA";"";"POINT(4.79811630366309 52.3547900972418)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Dagcentrum de Drie Wachters";"Wolbrantskerkweg";"116";"1069DA";"Amsterdam";"020 610 7601";"";"http://www.cordaan.nl";""
"Dagcentrum de Elzen";"dagcentrum_de_elzen";"1";"281";"";"0000-00-00 00:00:00";"Clauskindereweg 17";"1069HN";"";"POINT(4.79423602869114 52.3562716852884)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Dagcentrum de Elzen";"Clauskindereweg";"17";"1069HN";"Amsterdam";"020 610 4044";"";"http://www.cordaan.nl";""
"Dagcentrum de Rank";"dagcentrum_de_rank";"1";"281";"";"0000-00-00 00:00:00";"Druivenstraat 35";"1033JR";"";"POINT(4.90020462551469 52.4123978321366)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"Dagcentrum de Rank";"Druivenstraat";"35";"1033JR";"Amsterdam";"020 631 7863";"";"http://www.cordaan.nl";""
"De Driestroom";"de_driestroom";"1";"281";"";"0000-00-00 00:00:00";"Postbus 139";"6660AC";"";"POINT(-74.0632407 42.8910278)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Driestroom";"Postbus";"139";"6660AC";"Amsterdam";"0481 366 000";"";"http://www.driestroom.nl";"info@driestroom.nl"
"De Joriskring";"de_joriskring";"1";"281";"";"0000-00-00 00:00:00";"De Klencke 109";"1083HH";"";"POINT(4.88471177806043 52.3334659560565)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Joriskring";"De Klencke";"109";"1083HH";"Amsterdam";"030 225 5555";"";"http://www.lievegoed.nl/joriskring";"zorgbemiddeling@lievegoed.nl"
"De Koppeling behandelcentrum JeugdzorgPlus";"de_koppeling_behandelcentrum_jeugdzorgplus_1";"1";"281";"";"0000-00-00 00:00:00";"Tafelbergweg 8";"1105BN";"";"POINT(4.94735803554038 52.2920659981719)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Koppeling behandelcentrum JeugdzorgPlus";"Tafelbergweg";"8";"1105BN";"Amsterdam";"020 342 8400";"020 342 8499";"http://www.dekoppeling.com";"info@dekoppeling.com"
"De Opvoedpoli";"de_opvoedpoli_5";"1";"281";"";"0000-00-00 00:00:00";"Bijlmerdreef 1134";"1103JT";"";"POINT(4.96971175371461 52.3216539197909)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:30";"2016-04-29 13:12:30";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Opvoedpoli";"Bijlmerdreef";"1134";"1103JT";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_6";"1";"281";"";"0000-00-00 00:00:00";"Buikslotermeerplein 136";"1025EX";"";"POINT(4.93560377481371 52.3986971027549)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:31";"2016-04-29 13:12:31";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Opvoedpoli";"Buikslotermeerplein";"136";"1025EX";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_7";"1";"281";"";"0000-00-00 00:00:00";"Eerste Van Swindenstraat 555";"1093LC";"";"POINT(4.93013477444236 52.3633815376159)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:31";"2016-04-29 13:12:31";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Opvoedpoli";"Eerste Van Swindenstraat";"555";"1093LC";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_8";"1";"281";"";"0000-00-00 00:00:00";"Houtmankade 332";"1013RR";"";"POINT(4.88229645224543 52.3858811544946)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:31";"2016-04-29 13:12:31";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Opvoedpoli";"Houtmankade";"332";"1013RR";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
"De Opvoedpoli";"de_opvoedpoli_9";"1";"281";"";"0000-00-00 00:00:00";"Surinameplein 85";"1058GH";"";"POINT(4.85005952852072 52.3575717600906)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 13:12:31";"2016-04-29 13:12:31";"0000-00-00 00:00:00";"zorg voor mensen met een beperking";"De Opvoedpoli";"Surinameplein";"85";"1058GH";"Amsterdam";"020 303 3990";"";"http://www.opvoedpoli.nl";"aanmelden@opvoedpoli.nl"
