"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"instelling";"straat";"huisnummer";"postcode_2";"plaats_2";"telefoonnummer_2";"fax";"internet";"e-mail"
"Verpleeghuis Jan Bongastraat";"verpleeghuis_jan_bongastraat";"1";"227";"";"0000-00-00 00:00:00";"Jan Bongastraat 5";"1067HZ";"";"POINT(4.80381857640939 52.3799391732458)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis Jan Bongastraat";"Jan Bongastraat";"5";"1067HZ";"Amsterdam";"020 611 0011";"";"http://www.amsta.nl";"infojanbonga@amsta.nl"
"Verpleeghuis Oostpoort";"verpleeghuis_oostpoort";"1";"227";"";"0000-00-00 00:00:00";"Polderweg 340";"1093KP";"";"POINT(4.93226710611238 52.3581478585392)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis Oostpoort";"Polderweg";"340";"1093KP";"Amsterdam";"0900 1866";"";"http://www.amstelring.nl";""
"Verpleeghuis Slotervaart";"verpleeghuis_slotervaart";"1";"227";"";"0000-00-00 00:00:00";"Louwesweg 10";"1066EC";"";"POINT(4.82367762993562 52.347391770001)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verpleeghuis Slotervaart";"Louwesweg";"10";"1066EC";"Amsterdam";"020 346 2111";"";"http://www.cordaan.nl";""
"Verzorgingshuis Emmahof";"verzorgingshuis_emmahof";"1";"227";"";"0000-00-00 00:00:00";"Emmastraat 33";"1071JB";"";"POINT(4.87039972599071 52.3530066528232)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Verzorgingshuis Emmahof";"Emmastraat";"33";"1071JB";"Amsterdam";"020 679 6069";"020 673 8558";"http://www.pro-senectute.nl";"emmahof@pro-senectute.nl"
"Woon- en zorgcentrum De Den";"woon_en_zorgcentrum_de_den";"1";"227";"";"0000-00-00 00:00:00";"Ruys de Beerenbrouckstraat 23";"1067BL";"";"POINT(4.80417004427809 52.3822507562623)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:06";"2016-04-29 15:37:06";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en zorgcentrum De Den";"Ruys de Beerenbrouckstraat";"23";"1067BL";"Amsterdam";"020 570 6300";"";"http://www.puurzuid.nl";""
"Woon- en Zorgcentrum De Riekerhof";"woon_en_zorgcentrum_de_riekerhof";"1";"227";"";"0000-00-00 00:00:00";"Johan Jongkindstraat 3";"1062CK";"";"POINT(4.84021945296963 52.3591534857157)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en Zorgcentrum De Riekerhof";"Johan Jongkindstraat";"3";"1062CK";"Amsterdam";"020 518 6000";"";"http://www.cordaan.nl";"riekerhof@cordaan.nl"
"Woon- en zorgcentrum De Schutse";"woon_en_zorgcentrum_de_schutse";"1";"227";"";"0000-00-00 00:00:00";"Comeniusstraat 20";"1065BH";"";"POINT(4.8225849901937 52.3594481743426)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en zorgcentrum De Schutse";"Comeniusstraat";"20";"1065BH";"Amsterdam";"020 518 6518";"";"http://www.amsta.nl";"infoschutse@amsta.nl"
"Woon- en zorgcentrum De Werf";"woon_en_zorgcentrum_de_werf";"1";"227";"";"0000-00-00 00:00:00";"Van Reigersbergenstraat 829";"1052WN";"";"POINT(4.86846433520237 52.3724663455495)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en zorgcentrum De Werf";"Van Reigersbergenstraat";"829";"1052WN";"Amsterdam";"020 682 8286";"";"http://www.amsta.nl";"infowerf@amsta.nl"
"Woon- en zorgcentrum Nellestein";"woon_en_zorgcentrum_nellestein";"1";"227";"";"0000-00-00 00:00:00";"Lopikhof 1";"1108GH";"";"POINT(4.98473909271888 52.3094556713152)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en zorgcentrum Nellestein";"Lopikhof";"1";"1108GH";"Amsterdam";"020 311 6444";"";"http://www.amsta.nl";"infonellestein@amsta.nl"
"Woon- en Zorgcentrum Torendael";"woon_en_zorgcentrum_torendael";"1";"227";"";"0000-00-00 00:00:00";"Veluwelaan 21";"1079PX";"";"POINT(4.89743542221235 52.33847156492)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en Zorgcentrum Torendael";"Veluwelaan";"21";"1079PX";"Amsterdam";"020 546 1600";"";"http://www.puurzuid.nl";"info@puurzuid.nl"
"Woon- en zorgcentrum Vondelstede";"woon_en_zorgcentrum_vondelstede";"1";"227";"";"0000-00-00 00:00:00";"Anna van den Vondelstraat 30";"1054GZ";"";"POINT(4.8697269177889 52.3603556944123)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woon- en zorgcentrum Vondelstede";"Anna van den Vondelstraat";"30";"1054GZ";"Amsterdam";"020 589 0300";"";"http://www.amsta.nl";"infovondelstede@amsta.nl"
"Woonvoorziening Anton de Komplein";"woonvoorziening_anton_de_komplein";"1";"227";"";"0000-00-00 00:00:00";"Anton de Komplein 10";"1102DR";"";"POINT(4.95782241820682 52.3164793538397)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonvoorziening Anton de Komplein";"Anton de Komplein";"10";"1102DR";"Amsterdam";"020 312 3940";"";"http://www.cordaan.nl";"info@cordaan.nl"
"Woonzorg- en dienstencentrum Menno Simons";"woonzorg_en_dienstencentrum_menno_simons_1";"1";"227";"";"0000-00-00 00:00:00";"Noordhollandstraat 17a";"1081AS";"";"POINT(4.86650927552825 52.3267992005325)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorg- en dienstencentrum Menno Simons";"Noordhollandstraat";"17a";"1081AS";"Amsterdam";"020 517 1025";"020 517 1035";"http://www.zhga.nl";"mennosimons@zhga.nl"
"Woonzorgcentrum Buitenveldert";"woonzorgcentrum_buitenveldert";"1";"227";"";"0000-00-00 00:00:00";"Doornburg 2";"1081JB";"";"POINT(4.86136258208855 52.3228937032814)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Buitenveldert";"Doornburg";"2";"1081JB";"Amsterdam";"020 504 6000";"";"http://www.cordaan.nl";""
"Woonzorgcentrum De Boeg";"woonzorgcentrum_de_boeg";"1";"227";"";"0000-00-00 00:00:00";"Hoofdweg 495";"1055SC";"";"POINT(4.84663304536301 52.3761518131106)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:07";"2016-04-29 15:37:07";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Boeg";"Hoofdweg";"495";"1055SC";"Amsterdam";"020 686 0590";"";"http://www.cordaan.nl";""
"Woonzorgcentrum De Bogt-Westerbeer";"woonzorgcentrum_de_bogt_westerbeer";"1";"227";"";"0000-00-00 00:00:00";"Polanenstraat 6";"1013VW";"";"POINT(4.87832393773277 52.3890098434285)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Bogt-Westerbeer";"Polanenstraat";"6";"1013VW";"Amsterdam";"020 686 1131";"";"http://www.amstelring.nl";""
"Woonzorgcentrum De Buitenhof";"woonzorgcentrum_de_buitenhof";"1";"227";"";"0000-00-00 00:00:00";"Nieuw Herlaer 2";"1083BD";"";"POINT(4.88819194823304 52.326667940013)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Buitenhof";"Nieuw Herlaer";"2";"1083BD";"Amsterdam";"020 504 4000";"";"http://www.cordaan.nl";""
"Woonzorgcentrum De Drie Hoven";"woonzorgcentrum_de_drie_hoven";"1";"227";"";"0000-00-00 00:00:00";"Louis Bouwmeesterstraat 377";"1065NS";"";"POINT(4.82249424241385 52.3550437285358)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Drie Hoven";"Louis Bouwmeesterstraat";"377";"1065NS";"Amsterdam";"020 449 7272";"";"http://www.amstelring.nl";""
"Woonzorgcentrum De Gooyer";"woonzorgcentrum_de_gooyer_1";"1";"227";"";"0000-00-00 00:00:00";"Von Zesenstraat 298";"1093BJ";"";"POINT(4.9269244904145 52.3643217971066)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Gooyer";"Von Zesenstraat";"298";"1093BJ";"Amsterdam";"020 462 6700";"";"http://www.cordaan.nl";"zorgbemiddelingvv@cordaan.nl"
"Woonzorgcentrum De Klinker";"woonzorgcentrum_de_klinker_1";"1";"227";"";"0000-00-00 00:00:00";"Borgerstraat 45";"1053PB";"";"POINT(4.86776038302481 52.3653173031291)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Klinker";"Borgerstraat";"45";"1053PB";"Amsterdam";"020 756 3000";"";"https://www.amstelring.nl/";"klinker@amstelring.nl"
"Woonzorgcentrum De Rietvinck";"woonzorgcentrum_de_rietvinck";"1";"227";"";"0000-00-00 00:00:00";"Vinkenstraat 185";"1013JR";"";"POINT(4.88381739336356 52.3838833736781)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Rietvinck";"Vinkenstraat";"185";"1013JR";"Amsterdam";"020 756 3802";"";"http://www.amstelring.nl";""
"Woonzorgcentrum De Venser";"woonzorgcentrum_de_venser";"1";"227";"";"0000-00-00 00:00:00";"Berthold Brechtstraat 1";"1102RA";"";"POINT(4.9468100149231 52.3177960271194)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum De Venser";"Berthold Brechtstraat";"1";"1102RA";"Amsterdam";"020 756 5200";"";"http://www.amstelring.nl";""
"Woonzorgcentrum Eben Haëzer";"woonzorgcentrum_eben_haezer";"1";"227";"";"0000-00-00 00:00:00";"Wisseloord 219";"1106MB";"";"POINT(4.9857699344172 52.2976042896873)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Eben Haëzer";"Wisseloord";"219";"1106MB";"Amsterdam";"020 564 2000";"";"http://www.cordaan.nl";"ebenhaezer@cordaan.nl"
"Woonzorgcentrum Het Schouw";"woonzorgcentrum_het_schouw";"1";"227";"";"0000-00-00 00:00:00";"Dollardplein 2";"1025XJ";"";"POINT(4.94272159662606 52.3980589390245)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Het Schouw";"Dollardplein";"2";"1025XJ";"Amsterdam";"020 756 4000";"";"http://www.amstelring.nl";""
"Woonzorgcentrum Kastanjehof";"woonzorgcentrum_kastanjehof_1";"1";"227";"";"0000-00-00 00:00:00";"Kastanjeplein 60";"1092LA";"";"POINT(4.92309389704501 52.3585816703604)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Kastanjehof";"Kastanjeplein";"60";"1092LA";"Amsterdam";"020 462 6900";"";"http://www.cordaan.nl";""
"Woonzorgcentrum Leo Polakhuis";"woonzorgcentrum_leo_polakhuis";"1";"227";"";"0000-00-00 00:00:00";"Saaftingestraat 8";"1069BW";"";"POINT(4.78912683768205 52.3628699892704)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:08";"2016-04-29 15:37:08";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Leo Polakhuis";"Saaftingestraat";"8";"1069BW";"Amsterdam";"020 756 2500";"";"http://www.amstelring.nl";""
"Woonzorgcentrum Nieuw Geuzenveld";"woonzorgcentrum_nieuw_geuzenveld";"1";"227";"";"0000-00-00 00:00:00";"Cornelis Outshoornstraat 126";"1067HG";"";"POINT(4.79629926880019 52.382112877155)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:09";"2016-04-29 15:37:09";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Nieuw Geuzenveld";"Cornelis Outshoornstraat";"126";"1067HG";"Amsterdam";"020 480 4700";"";"http://www.cordaan.nl";"nieuwgeuzenveld@cordaan.nl"
"Woonzorgcentrum Nieuw Vredenburgh";"woonzorgcentrum_nieuw_vredenburgh";"1";"227";"";"0000-00-00 00:00:00";"Postjesweg 125";"1057DZ";"";"POINT(4.85124634432981 52.3638326179335)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:09";"2016-04-29 15:37:09";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Nieuw Vredenburgh";"Postjesweg";"125";"1057DZ";"Amsterdam";"088 267 3226";"";"http://www.cordaan.nl";""
"Woonzorgcentrum Vreugdehof";"woonzorgcentrum_vreugdehof";"1";"227";"";"0000-00-00 00:00:00";"De Klencke 111";"1083HH";"";"POINT(4.88426717632913 52.3338595297254)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:09";"2016-04-29 15:37:09";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Vreugdehof";"De Klencke";"111";"1083HH";"Amsterdam";"020 541 6111";"";"http://www.amstelring.nl";""
"Woonzorgcentrum Willem Dreeshuis";"woonzorgcentrum_willem_dreeshuis";"1";"227";"";"0000-00-00 00:00:00";"Hugo de Vrieslaan 65";"1097EG";"";"POINT(4.9331018352181 52.3488957692553)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:09";"2016-04-29 15:37:09";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Woonzorgcentrum Willem Dreeshuis";"Hugo de Vrieslaan";"65";"1097EG";"Amsterdam";"020 756 6200";"";"http://www.amstelring.nl";""
"Zorgcentrum d' Oude Raai";"zorgcentrum_d_oude_raai";"1";"227";"";"0000-00-00 00:00:00";"Ferdinand Bolstraat 321";"1072MA";"";"POINT(4.89169451363604 52.3493228577459)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-04-29 15:37:09";"2016-04-29 15:37:09";"0000-00-00 00:00:00";"Verpleeg- en verzorgingshuizen";"Zorgcentrum d' Oude Raai";"Ferdinand Bolstraat";"321";"1072MA";"Amsterdam";"020 348 5400";"";"http://www.cordaan.nl";"ouderaai@cordaan.nl"
