"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"internet";"e-mail";"fax";"telefoonnummer_2";"plaats_2";"postcode_2";"huisnummer";"straat";"instelling"
"Centraal Meldpunt dakloze gezinnen";"centraal_meldpunt_dakloze_gezinnen";"1";"237";"";"0000-00-00 00:00:00";"Nieuwe Achtergracht 100";"1018WT";"";"POINT(4.90900287705508 52.3625251245642)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Centraal Meldpunt dakloze gezinnen";"Nieuwe Achtergracht";"100";"1018WT";"Amsterdam";"020 555 5462";"";"";""
"Centrum PS";"centrum_ps";"1";"237";"";"0000-00-00 00:00:00";"Tweede Kostverlorenkade 15";"1052RL";"";"POINT(4.86579213870465 52.3703867207915)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Centrum PS";"Tweede Kostverlorenkade";"15";"1052RL";"Amsterdam";"088 445 4160";"";"http://www.volksbond.nl";""
"Clusterwonen";"clusterwonen";"1";"237";"";"0000-00-00 00:00:00";"Plantage Doklaan 16";"1018CM";"";"POINT(4.91187589928303 52.3684236452534)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Clusterwonen";"Plantage Doklaan";"16";"1018CM";"Amsterdam";"020 411 5586";"020 411 5589";"http://www.legerdesheils-goodwillcentra.nl";""
"Dagactiviteitencentrum De Miranda";"dagactiviteitencentrum_de_miranda";"1";"237";"";"0000-00-00 00:00:00";"Peelstraat 85";"1079RN";"";"POINT(4.90080516418065 52.33893485117)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:51";"2016-08-30 15:59:51";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Dagactiviteitencentrum De Miranda";"Peelstraat";"85";"1079RN";"Amsterdam";"020 517 0532";"";"http://www.hvoquerido.nl/";""
"De Aak, zorgvoorziening voor dak- en thuislozen";"de_aak_zorgvoorziening_voor_dak_en_thuislozen";"1";"237";"";"0000-00-00 00:00:00";"Akerwateringstraat 241";"1069GD";"";"POINT(4.78573633465077 52.3541001812015)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"De Aak, zorgvoorziening voor dak- en thuislozen";"Akerwateringstraat";"241";"1069GD";"Amsterdam";"020 667 5050";"";"http://www.hvoquerido.nl";""
"De Goodwillburgh";"de_goodwillburgh";"1";"237";"";"0000-00-00 00:00:00";"Anne Frankstraat 2";"1011SR";"";"POINT(4.909060522152 52.3694369076746)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"De Goodwillburgh";"Anne Frankstraat";"2";"1011SR";"Amsterdam";"020 553 5455";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"De Klif";"de_klif";"1";"237";"";"0000-00-00 00:00:00";"Hakfort 42";"1102LA";"";"POINT(4.9567883058941 52.3051420009543)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"De Klif";"Hakfort";"42";"1102LA";"Amsterdam";"020 453 0617";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"De Regenboog Groep";"de_regenboog_groep";"1";"237";"";"0000-00-00 00:00:00";"Droogbak 1d";"1013GE";"";"POINT(4.89413939550038 52.380259820669)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"De Regenboog Groep";"Droogbak";"1d";"1013GE";"Amsterdam";"020 531 7600";"";"http://www.deregenboog.org";"info@deregenboog.org"
"Discus Amsterdam";"discus_amsterdam_3";"1";"237";"";"0000-00-00 00:00:00";"Discusstraat 15";"1076VK";"";"POINT(4.86080857521283 52.3461246948313)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Discus Amsterdam";"Discusstraat";"15";"1076VK";"Amsterdam";"020 305 4900";"";"http://www.hvoquerido.nl";""
"Discus Amsterdam";"discus_amsterdam_4";"1";"237";"";"0000-00-00 00:00:00";"Johan Huizingalaan 126";"1065JE";"";"POINT(4.82683380111803 52.3601154834516)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Discus Amsterdam";"Johan Huizingalaan";"126";"1065JE";"Amsterdam";"020 346 8920";"";"http://www.hvoquerido.nl";""
"Discus Amsterdam";"discus_amsterdam_5";"1";"237";"";"0000-00-00 00:00:00";"Mauritskade 22c";"1091GC";"";"POINT(4.91393673509129 52.3610529898951)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Discus Amsterdam";"Mauritskade";"22c";"1091GC";"Amsterdam";"020 305 4900";"";"http://www.hvoquerido.nl";""
"Don Boscohuis Amsterdam";"don_boscohuis_amsterdam";"1";"237";"";"0000-00-00 00:00:00";"Apollolaan 91";"1077AM";"";"POINT(4.8778718112844 52.3503606896394)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:52";"2016-08-30 15:59:52";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Don Boscohuis Amsterdam";"Apollolaan";"91";"1077AM";"Amsterdam";"020 675 3159";"";"http://www.donboscoamsterdam.nl";"info@donboscoamsterdam.nl"
"Dr. Valckenier spreekuur (huisarts inloopspreekuur)";"dr_valckenier_spreekuur_huisarts_inloopspreekuur";"1";"237";"";"0000-00-00 00:00:00";"Valckenierstraat 2";"1018XG";"";"POINT(4.90851275987104 52.3616872859729)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Dr. Valckenier spreekuur (huisarts inloopspreekuur)";"Valckenierstraat";"2";"1018XG";"Amsterdam";"020 555 5624";"020 555 5177";"http://www.ggd.amsterdam.nl/drugs/dr-valckenier/";""
"Eettafel Filah";"eettafel_filah";"1";"237";"";"0000-00-00 00:00:00";"Van der Hoopstraat 43";"1051VB";"";"POINT(4.87400036001581 52.3843445492948)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Eettafel Filah";"Van der Hoopstraat";"43";"1051VB";"Amsterdam";"020 669 4473";"";"http://www.nassaukerk.nl";"jaap.kolkman@zonnet.nl"
"Geïntegreerde Voorziening (GV) Centrum";"geintegreerde_voorziening_gv_centrum_1";"1";"237";"";"0000-00-00 00:00:00";"Valckenierstraat 2";"1018XG";"";"POINT(4.90851275987104 52.3616872859729)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Geïntegreerde Voorziening (GV) Centrum";"Valckenierstraat";"2";"1018XG";"Amsterdam";"020 555 5624";"020 555 5177";"http://www.amsterdam.nl/zorg-welzijn/geintegreerde";""
"Geïntegreerde Voorziening (GV) West";"geintegreerde_voorziening_gv_west_1";"1";"237";"";"0000-00-00 00:00:00";"Elisabeth Wolffstraat 2";"1052RR";"";"POINT(4.86657921660121 52.3708845094098)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Geïntegreerde Voorziening (GV) West";"Elisabeth Wolffstraat";"2";"1052RR";"Amsterdam";"020 252 6060";"";"http://www.amsterdam.nl/zorg-welzijn/geintegreerde";""
"Geïntegreerde Voorziening (GV) Zuidoost";"geintegreerde_voorziening_gv_zuidoost_1";"1";"237";"";"0000-00-00 00:00:00";"Flierbosdreef 23";"1102BV";"";"POINT(4.95820137186839 52.3136855304352)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Geïntegreerde Voorziening (GV) Zuidoost";"Flierbosdreef";"23";"1102BV";"Amsterdam";"020 555 5821";"";"http://www.amsterdam.nl/zorg-welzijn/geintegreerde";""
"Herstart Rosaburgh";"herstart_rosaburgh";"1";"237";"";"0000-00-00 00:00:00";"Hagedoornplein 4";"1031BV";"";"POINT(4.91455641582723 52.3883241251527)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Herstart Rosaburgh";"Hagedoornplein";"4";"1031BV";"Amsterdam";"020 435 0670";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"Herstart Westburgh";"herstart_westburgh";"1";"237";"";"0000-00-00 00:00:00";"Generatorstraat 2";"1014AT";"";"POINT(4.85423702744119 52.3947459029794)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Herstart Westburgh";"Generatorstraat";"2";"1014AT";"Amsterdam";"020 692 4850";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"Herstart Zuiderburgh";"herstart_zuiderburgh";"1";"237";"";"0000-00-00 00:00:00";"Joh.M. Coenenstraat 2";"1071WG";"";"POINT(4.88161752822785 52.3526686259663)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Herstart Zuiderburgh";"Joh.M. Coenenstraat";"2";"1071WG";"Amsterdam";"020 305 3366";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"HVO-Querido";"hvo_querido";"1";"237";"";"0000-00-00 00:00:00";"Eerste Ringdijkstraat 5";"1097BC";"";"POINT(4.91891283765617 52.3501253517124)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:53";"2016-08-30 15:59:53";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"HVO-Querido";"Eerste Ringdijkstraat";"5";"1097BC";"Amsterdam";"020 561 9090";"020 561 9091";"http://www.hvoquerido.nl/";"info@hvoquerido.nl"
"HVO-Querido";"hvo_querido_1";"1";"237";"";"0000-00-00 00:00:00";"Marnixkade 109F";"1015ZL";"";"POINT(4.87674510359242 52.3755844114509)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"HVO-Querido";"Marnixkade";"109F";"1015ZL";"Amsterdam";"020 561 9090";"020 561 9091";"http://www.hvoquerido.nl/";"info@hvoquerido.nl"
"Informele Zorg Westerpark";"informele_zorg_westerpark";"1";"237";"";"0000-00-00 00:00:00";"Van der Hoopstraat 93";"1051VD";"";"POINT(4.87165180945169 52.384208520709)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Informele Zorg Westerpark";"Van der Hoopstraat";"93";"1051VD";"Amsterdam";"020 683 9260";"";"http://www.deregenboog.org";"info@deregenboog.org"
"Inloophuis De Kloof";"inloophuis_de_kloof";"1";"237";"";"0000-00-00 00:00:00";"Kloveniersburgwal 93";"1011KB";"";"POINT(4.89746327600569 52.3692007640883)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis De Kloof";"Kloveniersburgwal";"93";"1011KB";"Amsterdam";"020 618 9649";"";"http://www.deregenboog.org";"dekloof@deregenboog.org"
"Inloophuis De Spreekbuis";"inloophuis_de_spreekbuis";"1";"237";"";"0000-00-00 00:00:00";"Tweede Oosterparkstraat 72";"1091JG";"";"POINT(4.91549606200291 52.3566102914183)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis De Spreekbuis";"Tweede Oosterparkstraat";"72";"1091JG";"Amsterdam";"020 665 4595";"";"http://www.deregenboog.org/";""
"Inloophuis De Tweede Mijl";"inloophuis_de_tweede_mijl";"1";"237";"";"0000-00-00 00:00:00";"Willemsstraat 39";"1015HW";"";"POINT(4.88511043336344 52.3812464803589)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis De Tweede Mijl";"Willemsstraat";"39";"1015HW";"Amsterdam";"020 623 2828";"";"http://www.detweedemijl.nl";""
"Inloophuis en Gebruikersruimte Blaka Watra";"inloophuis_en_gebruikersruimte_blaka_watra";"1";"237";"";"0000-00-00 00:00:00";"Droogbak 1c";"1013GE";"";"POINT(4.89413939550038 52.380259820669)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis en Gebruikersruimte Blaka Watra";"Droogbak";"1c";"1013GE";"Amsterdam";"020 531 7630";"";"http://www.deregenboog.org";""
"Inloophuis en gebruikersruimte De Princehof";"inloophuis_en_gebruikersruimte_de_princehof";"1";"237";"";"0000-00-00 00:00:00";"Oudezijds Voorburgwal 165";"1012ET";"";"POINT(4.89650675736408 52.3720459079945)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis en gebruikersruimte De Princehof";"Oudezijds Voorburgwal";"165";"1012ET";"Amsterdam";"";"";"http://www.deregenboog.org";"info@deregenboog.org"
"Inloophuis Haarlemmerstraat";"inloophuis_haarlemmerstraat";"1";"237";"";"0000-00-00 00:00:00";"Haarlemmerstraat 146";"1013EZ";"";"POINT(4.88975058921189 52.3813379646705)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis Haarlemmerstraat";"Haarlemmerstraat";"146";"1013EZ";"Amsterdam";"088 445 4170";"";"http://www.volksbond.nl";""
"Inloophuis Makom - kledinginzamelplek";"inloophuis_makom_kledinginzamelplek";"1";"237";"";"0000-00-00 00:00:00";"Van Ostadestraat 153";"1073TK";"";"POINT(4.8956040443583 52.3527994423332)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis Makom - kledinginzamelplek";"Van Ostadestraat";"153";"1073TK";"Amsterdam";"020 664 4005";"";"http://www.deregenboog.org";""
"Inloophuis Ondro Bong";"inloophuis_ondro_bong";"1";"237";"";"0000-00-00 00:00:00";"Zeeburgerdijk 53";"1094AA";"";"POINT(4.93459793085432 52.3662567725479)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis Ondro Bong";"Zeeburgerdijk";"53";"1094AA";"Amsterdam";"";"";"http://www.deregenboog.org";""
"Inloophuis Oud-West";"inloophuis_oud_west";"1";"237";"";"0000-00-00 00:00:00";"Bilderdijkstraat 182";"1053LD";"";"POINT(4.87225136776195 52.3667300210668)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:54";"2016-08-30 15:59:54";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Inloophuis Oud-West";"Bilderdijkstraat";"182";"1053LD";"Amsterdam";"020 616 2159";"";"http://www.deregenboog.org";""
"Je Eigen Stek, doorstroomhuis voor ex-daklozen";"je_eigen_stek_doorstroomhuis_voor_ex_daklozen";"1";"237";"";"0000-00-00 00:00:00";"Tolstraat 86";"1073SE";"";"POINT(4.90218895414779 52.3519547962319)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Je Eigen Stek, doorstroomhuis voor ex-daklozen";"Tolstraat";"86";"1073SE";"Amsterdam";"020 471 5626";"";"http://www.jeeigenstek.nl/";"info.jeeigenstek@gmail.com"
"Juttersdok Kringloop Amsterdam";"juttersdok_kringloop_amsterdam";"1";"237";"";"0000-00-00 00:00:00";"Kerkstraat 354";"1017JA";"";"POINT(4.89948453727621 52.3629806195318)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Juttersdok Kringloop Amsterdam";"Kerkstraat";"354";"1017JA";"Amsterdam";"020 820 3570";"";"http://www.juttersdok.nl";"info@juttersdok.nl"
"Juttersdok Kringloop Amsterdam";"juttersdok_kringloop_amsterdam_1";"1";"237";"";"0000-00-00 00:00:00";"Nickeriestraat 2";"1058DE";"";"POINT(4.85588197702385 52.3629187877545)";"";"AMSTERDAM";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Juttersdok Kringloop Amsterdam";"Nickeriestraat";"2";"1058DE";"AMSTERDAM";"020 488 9718";"";"http://www.juttersdok.nl";"info@juttersdok.nl"
"Juttersdok Kringloop Amsterdam";"juttersdok_kringloop_amsterdam_2";"1";"237";"";"0000-00-00 00:00:00";"Papaverweg 17";"1032KE";"";"POINT(4.91118481587054 52.3945121102935)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Juttersdok Kringloop Amsterdam";"Papaverweg";"17";"1032KE";"Amsterdam";"020 820 3568";"";"http://www.juttersdok.nl";"info@juttersdok.nl"
"Juttersdok Kringloop Amsterdam";"juttersdok_kringloop_amsterdam_3";"1";"237";"";"0000-00-00 00:00:00";"Postjeskade 23";"1058DE";"";"POINT(4.85549253040184 52.3635641571681)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Juttersdok Kringloop Amsterdam";"Postjeskade";"23";"1058DE";"Amsterdam";"020 820 3569";"";"http://www.juttersdok.nl";"info@juttersdok.nl"
"Juttersdok Kringloop Amsterdam";"juttersdok_kringloop_amsterdam_4";"1";"237";"";"0000-00-00 00:00:00";"Zeeburgerpad 90";"1019AD";"";"POINT(4.94530460620432 52.3671977028861)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Juttersdok Kringloop Amsterdam";"Zeeburgerpad";"90";"1019AD";"Amsterdam";"020 694 6251";"";"http://www.juttersdok.nl";"info@juttersdok.nl"
"Leger des Heils Goodwill Centra Amsterdam (GWCA)";"leger_des_heils_goodwill_centra_amsterdam_gwca";"1";"237";"";"0000-00-00 00:00:00";"Rode Kruisstraat 24b";"1025KN";"";"POINT(4.92874546109189 52.3955340707404)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Leger des Heils Goodwill Centra Amsterdam (GWCA)";"Rode Kruisstraat";"24b";"1025KN";"Amsterdam";"020 630 1111";"";"http://www.legerdesheils-goodwillcentra.nl";"btm.gwca@legerdesheils.nl"
"Maatschappelijke Opvang Atlantisplein";"maatschappelijke_opvang_atlantisplein";"1";"237";"";"0000-00-00 00:00:00";"Atlantisplein 5";"1093NE";"";"POINT(4.93088921146546 52.3573607050883)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Maatschappelijke Opvang Atlantisplein";"Atlantisplein";"5";"1093NE";"Amsterdam";"088 445 4140";"";"http://www.volksbond.nl";""
"Majoor Bosshardtburgh";"majoor_bosshardtburgh";"1";"237";"";"0000-00-00 00:00:00";"Oudezijds Armsteeg 11";"1012GP";"";"POINT(4.89943202370827 52.3756427401087)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:55";"2016-08-30 15:59:55";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Majoor Bosshardtburgh";"Oudezijds Armsteeg";"11";"1012GP";"Amsterdam";"020 522 1071";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"Martien Schaaperhuis";"martien_schaaperhuis";"1";"237";"";"0000-00-00 00:00:00";"Pedro de Medinalaan 12";"1086XK";"";"POINT(4.97798559474576 52.3629004977753)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:56";"2016-08-30 15:59:56";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Martien Schaaperhuis";"Pedro de Medinalaan";"12";"1086XK";"Amsterdam";"020 314 0400";"";"http://www.hvoquerido.nl";""
